DATE_ID,LOCATION,VISIT_CLASS_ID,UNIQUE_USERS
20230619,m_15051,Visitatore,15481
20230619,m_15220,Pernottante,3086
20230619,m_15220,Visitatore,10826
20230619,m_15220,Abitante abituale,16706
20230620,a_15146_55,Pernottante,5725
20230620,a_15146_55,Abitante abituale,15073
20230620,a_15146_55,Visitatore,28835
20230620,m_15242,Pernottante,3051
20230620,m_15242,Abitante abituale,12632
20230620,m_15242,Visitatore,15328
20230622,m_15019,Pernottante,350
20230622,m_15019,Visitatore,1398
20230622,m_15019,Abitante abituale,2301
20230623,m_15151,Pernottante,519
20230623,m_15151,Visitatore,1461
20230623,m_15151,Abitante abituale,3257
20230624,a_15146_21,Pernottante,3724
20230624,a_15146_21,Abitante abituale,8966
20230624,a_15146_21,Visitatore,9369
20230625,a_15146_23,Pernottante,5713
20230625,a_15146_23,Visitatore,15172
20230625,a_15146_23,Abitante abituale,17536
20230625,m_15113,Pernottante,998
20230625,m_15113,Visitatore,3101
20230625,m_15113,Abitante abituale,5691
20230625,m_15178,Pernottante,868
20230625,m_15178,Visitatore,2853
20230625,m_15178,Abitante abituale,5417
20230627,m_15200,Pernottante,658
20230627,m_15200,Visitatore,2532
20230627,m_15200,Abitante abituale,2780
20230628,m_15179,Pernottante,1009
20230628,m_15179,Visitatore,5049
20230628,m_15179,Abitante abituale,5239
20230629,m_15060,Pernottante,1355
20230629,m_15060,Visitatore,5424
20230629,m_15060,Abitante abituale,8188
20230630,a_15146_39,Pernottante,5356
20230630,a_15146_39,Abitante abituale,14386
20230630,a_15146_39,Visitatore,17652
20230701,a_15146_17,Pernottante,5028
20230701,a_15146_17,Abitante abituale,13240
20230701,a_15146_17,Visitatore,18064
20230701,a_15146_54,Pernottante,2903
20230701,a_15146_54,Visitatore,11229
20230701,a_15146_54,Abitante abituale,11862
20230701,a_15146_59,Pernottante,3155
20230701,a_15146_59,Visitatore,11116
20230701,a_15146_59,Abitante abituale,11541
20230701,m_15201,Pernottante,3489
20230701,m_15201,Abitante abituale,6621
20230701,m_15201,Visitatore,10379
20230701,m_15236,Pernottante,289
20230701,m_15236,Visitatore,1647
20230701,m_15236,Abitante abituale,1733
20230704,a_15146_76,Pernottante,2455
20230704,a_15146_76,Abitante abituale,10325
20230704,a_15146_76,Visitatore,11720
20230705,a_15146_78,Pernottante,1463
20230705,a_15146_78,Visitatore,5562
20230705,a_15146_78,Abitante abituale,8818
20230705,m_15247,Pernottante,878
20230705,m_15247,Abitante abituale,3459
20230705,m_15247,Visitatore,3669
20230706,m_15055,Pernottante,379
20230706,m_15055,Visitatore,1778
20230706,m_15055,Abitante abituale,2181
20230710,m_15071,Pernottante,207
20230710,m_15071,Abitante abituale,1133
20230710,m_15071,Visitatore,2187
20230711,a_15146_15,Pernottante,8188
20230711,a_15146_15,Abitante abituale,12460
20230711,a_15146_15,Visitatore,27337
20230712,a_15146_54,Pernottante,2742
20230712,a_15146_54,Visitatore,11364
20230712,a_15146_54,Abitante abituale,12701
20230712,m_15011,Pernottante,7693
20230712,m_15011,Abitante abituale,8723
20230712,m_15011,Visitatore,30430
20230713,m_15167,Pernottante,1204
20230713,m_15167,Visitatore,5124
20230713,m_15167,Abitante abituale,5509
20230714,m_15201,Pernottante,1234
20230714,m_15201,Visitatore,6094
20230714,m_15201,Abitante abituale,6786
20230722,a_15146_04,Pernottante,245
20230722,a_15146_04,Abitante abituale,753
20230722,a_15146_04,Visitatore,1000
20230725,a_15146_40,Pernottante,2637
20230725,a_15146_40,Abitante abituale,5770
20230725,a_15146_40,Visitatore,16269
20230726,m_15106,Pernottante,1149
20230726,m_15106,Visitatore,5040
20230726,m_15106,Abitante abituale,6343
20230726,m_15113,Pernottante,986
20230726,m_15113,Visitatore,3664
20230726,m_15113,Abitante abituale,5220
20230801,m_15242,Pernottante,2925
20230801,m_15242,Abitante abituale,10152
20230801,m_15242,Visitatore,13022
20230802,m_15019,Pernottante,416
20230802,m_15019,Visitatore,1361
20230802,m_15019,Abitante abituale,2186
20230802,m_15022,Pernottante,131
20230802,m_15022,Visitatore,415
20230802,m_15022,Abitante abituale,692
20230802,m_15192,Pernottante,5765
20230802,m_15192,Visitatore,18199
20230802,m_15192,Abitante abituale,20069
20230804,a_15146_11,Pernottante,5139
20230804,a_15146_11,Abitante abituale,9512
20230804,a_15146_11,Visitatore,15012
20230804,a_15146_54,Pernottante,2412
20230804,a_15146_54,Visitatore,7497
